cause,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
alzheimers,76.9,66.3,61.3,54.7,55,50.2,32.8,37.3,29.6,24,26.6,30.8,34.9,32.3,29.2
cancer,83.1,81.6,77.5,75.3,74.5,76.1,72,74.8,75.2,74.3,74.1,76.8,76.6,74.8,77.8
automobile_crashes,56.8,39.6,36.6,23.3,19.5,19.2,12.3,10.5,7.4,7.3,8.2,8.8,10.8,10.6,9.8
diabetes,91.4,89.6,84.4,80.1,77.8,77.1,75.4,73.3,72.8,73.1,74.6,76.5,73.8,75.9,76.7
heart_disease,77.5,71.3,63.1,56.3,53.2,55.8,50.9,51.8,52.9,50,51.1,50.8,50.7,53,55.7
homicide,55.2,51.2,46.5,52.8,54.8,56,51,64,68.6,77.2,78,79.9,86.9,83.2,84
kidney_disease,53.8,57.3,53.8,53.4,54.3,57.8,57.6,58.7,63.2,63.8,66.9,73.3,76.3,85.8,95.1
lower_respiratory_disease,26.2,20,14.5,18.8,17.8,15.1,18.1,10.8,12.9,11.8,15.7,14.9,18,21.8,21.8
overdose,35.8,39.3,36.9,38.9,41.9,45.4,48.3,50.2,49.1,48.6,54.1,51.1,57.4,58.3,64.8
pnuemonia_and_influenza,,,,,,,,,,,,,,,
pnuemonia,56.5,67.5,67.9,63.3,59.2,44.7,31.4,32.3,25.6,21,20.7,22.5,23.5,20.9,22.8
influenza,16.6,20.9,19.3,14.6,16.3,37.3,10.8,11.8,11.4,14.8,15.4,14.4,13,18.2,25
stroke,62.8,64.3,60.9,57.1,58.5,57.9,60,69.1,67.3,68,70.3,75.3,80.8,82.7,84.8
suicide,20.7,21.5,18.8,17.7,17.8,17,16.8,17.2,18.5,17.8,18.6,22.3,35.6,23.1,21.3
terrorism,77.6,54,43,32.9,28.3,25.2,23.9,21.8,17.9,18.7,18.2,26.8,25.3,25,15.2
