Causes,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
alzheimers,76.9,66.3,61.3,54.7,55,50.2,32.8,37.3,29.6,24,26.6,30.8,34.9,32.3,29.2
cancer,2357.941725,2315.3796,2199.043125,2136.618675,2113.918875,2159.318475,2042.982,2122.4313,2133.7812,2108.243925,2102.568975,2179.1808,2173.50585,2122.4313,2207.55555
automobile_crashes,11.8333144,8.2499868,7.6249878,4.8541589,4.0624935,3.9999936,2.5624959,2.1874965,1.5416642,1.5208309,1.7083306,1.8333304,2.2499964,2.2083298,2.0416634
diabetes,720.403375,706.216,665.23025,631.3381875,613.209875,607.6925625,594.293375,577.7414375,573.8005,576.1650625,587.987875,602.9634375,581.682375,598.2343125,604.5398125
heart_disease,135.743575,124.884089,110.521543,98.611139,93.181396,97.735374,89.152877,90.729254,92.655937,87.5765,89.503183,88.977724,88.802571,92.83109,97.560221
homicide,132.736128,123.117568,111.81576,126.964992,131.774272,134.65984,122.63664,153.89696,164.958304,185.638208,187.56192,192.130736,208.963216,200.066048,201.98976
kidney_disease,94.232314,100.362669,94.232314,93.531702,95.108079,101.238434,100.888128,102.814811,110.696696,111.747614,117.177357,128.387149,133.641739,150.281274,166.570503
lower_respiratory_disease,1.64681279,1.257109,0.911404025,1.18168246,1.11882701,0.949117295,1.137683645,0.67883886,0.810835305,0.74169431,0.986830565,0.936546205,1.1313981,1.37024881,1.37024881
overdose,3.959991907,3.022894586,2.191598575,2.841520911,2.690376181,2.282285412,2.7357196,1.632363076,1.949767008,1.783507806,2.37297225,2.252056466,2.720605127,3.294955098,3.294955098
pnuemonia_and_influenza,149.479465,180.413845,178.526041,160.612357,154.747438,159.714233,85.774306,89.417127,74.381684,70.36193,70.748603,72.888345,72.628615,75.979781,91.713032
stroke,18330.5664,18768.3984,17775.9792,16666.8048,17075.448,16900.3152,17513.28,20169.4608,19644.0624,19848.384,20519.7264,21979.1664,23584.5504,24139.1376,24752.1024
suicide,184.2921,191.4145,167.3764,157.5831,158.4734,151.351,149.5704,153.1316,164.7055,158.4734,165.5958,198.5369,316.9468,205.6593,189.6339
terrorism,186.600064,129.85056,103.39952,79.112656,68.051312,60.596928,57.470896,52.421152,43.043056,44.966768,43.764448,64.444352,60.837392,60.116,36.550528
