,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
alzheimers,531,391,361,427,313,302,333,298,303,282,279
cancer,4941,3055,3352,3504,2563,2487,2526,2250,2187,2184,2031
automobile_crashes,139,126,132,256,231,144,146,148,295,142,113
diabetes,"1,141",733,762,779,595,447,536,522,463,450,454
heart_disease,1436,1004,1019,921,616,574,642,683,609,636,628
homicide,809,565,422,409,340,362,379,519,614,1728,1467
kidney_disease,292,197,201,216,133,158,127,121,135,119,120
lower_respiratory_disease,62,48,24,31,15,15,23,17,23,25,25
overdose,307,239,239,234,212,195,175,169,249,207,315
pnuemonia_and_influenza,809,375,377,623,257,211,255,296,264,231,292
stroke,2878,1654,2068,1734,1418,1439,1554,1363,1151,1070,1044
suicide,4620,3497,3027,2293,1727,1678,1596,1628,1734,1836,1855
terrorism,8719,4529,3990,2609,2021,1763,1354,1692,2072,3131,2925
